"Order_No.","X.Time.from.Pickup.to.Arrival"
"Order_No_19248",1347.79800703778
"Order_No_12736",1146.95483727675
"Order_No_768",1052.57815999719
"Order_No_15332",1017.49168341835
"Order_No_21373",1214.86357662102
"Order_No_14573",2283.59943474958
"Order_No_6731",2396.43557666555
"Order_No_18436",1320.83397135802
"Order_No_2288",1390.49136274748
"Order_No_9063",2215.05032361593
"Order_No_4814",1209.21747254376
"Order_No_16747",2699.18252250434
"Order_No_6376",1669.54071747791
"Order_No_1199",1342.11380708285
"Order_No_17119",1601.2579204848
"Order_No_14832",1205.50280431997
"Order_No_12321",923.894556256992
"Order_No_24820",1551.93842645896
"Order_No_6065",1206.90097087019
"Order_No_13176",698.453917599931
"Order_No_23557",852.223002948473
"Order_No_20488",1846.97521609563
"Order_No_24214",1245.73702831537
"Order_No_21206",2238.78427194515
"Order_No_1930",929.381491911146
"Order_No_28180",1999.77528250886
"Order_No_13329",686.887486501707
"Order_No_19004",999.804525406385
"Order_No_27510",1838.11816411037
"Order_No_25394",1879.53740983592
"Order_No_11299",2651.71570969543
"Order_No_21269",1487.29200704794
"Order_No_3565",3233.97441504476
"Order_No_6473",1248.21657008728
"Order_No_6258",1017.43258423122
"Order_No_27480",1952.70443729894
"Order_No_23302",2097.98687599841
"Order_No_16731",1683.9700545988
"Order_No_21353",1446.71888259685
"Order_No_10610",994.061728462245
"Order_No_5930",1305.92578879266
"Order_No_5171",1888.87484678818
"Order_No_21590",1458.6416894618
"Order_No_643",1315.05197099172
"Order_No_6308",1181.71747880134
"Order_No_16885",2141.05672278801
"Order_No_5421",1600.4361794854
"Order_No_21864",2484.45860571925
"Order_No_11618",1263.61738276286
"Order_No_27514",2497.08438541733
"Order_No_26356",1674.15168960794
"Order_No_20174",1119.49066420851
"Order_No_23193",2692.4132911162
"Order_No_17568",1311.56854654185
"Order_No_25549",1297.27078131216
"Order_No_23942",1021.64802695017
"Order_No_25817",1532.66450740024
"Order_No_16582",2796.71864825111
"Order_No_25259",2503.67089037703
"Order_No_7311",1096.2882824987
"Order_No_6198",1492.28208742639
"Order_No_18810",1111.6959001914
"Order_No_26162",1045.30720990357
"Order_No_4192",1119.04639884071
"Order_No_28224",1068.27690137202
"Order_No_15612",918.364432368863
"Order_No_21556",2066.00789470138
"Order_No_15698",1960.29732992093
"Order_No_2619",2041.81896061545
"Order_No_10710",1539.76818459753
"Order_No_17906",1151.98560701924
"Order_No_24831",1075.76179449622
"Order_No_15312",3024.97787623042
"Order_No_17599",1354.15768925695
"Order_No_8759",712.734200472016
"Order_No_18102",1755.25390928726
"Order_No_19596",1967.18153162279
"Order_No_18174",1149.03134269331
"Order_No_18641",2435.39611432549
"Order_No_7568",823.852509750837
"Order_No_23561",1425.18817665656
"Order_No_21212",959.498382135001
"Order_No_19352",2735.78693739692
"Order_No_13038",1961.5043952778
"Order_No_14688",1605.22367026987
"Order_No_5155",1269.027792377
"Order_No_26963",1273.85224897461
"Order_No_25662",1806.19071750073
"Order_No_22324",1227.17047879061
"Order_No_4080",1233.90870593908
"Order_No_2551",1570.9633132846
"Order_No_6576",1764.86877020069
"Order_No_23150",1914.30538673265
"Order_No_12488",1628.80998827144
"Order_No_14209",954.029799581348
"Order_No_14944",1800.66114470714
"Order_No_105",1517.03914948551
"Order_No_6400",2041.69295159801
"Order_No_23670",1032.45984280175
"Order_No_11927",1996.43527269186
"Order_No_672",1883.49101183563
"Order_No_24305",1415.31693889212
"Order_No_23438",572.546900994566
"Order_No_11297",2288.7593556268
"Order_No_25875",803.414869762163
"Order_No_2483",1656.54385250556
"Order_No_22525",2288.16346537967
"Order_No_85",1364.73426933756
"Order_No_25252",1073.48125763065
"Order_No_16007",2219.15141926092
"Order_No_10988",1325.34413885814
"Order_No_15321",1986.04185769331
"Order_No_16080",922.442689001085
"Order_No_11090",1002.1007103285
"Order_No_21090",1350.88562697734
"Order_No_1621",1203.99735381195
"Order_No_24456",1643.62677517108
